Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude
550000.0,2.0,4.0,1965.0,38.701656,-121.309105
365000.0,3.0,3.0,1022.0,38.55091,-121.35447
915000.0,3.0,5.0,2825.0,38.68122,-121.11251
289900.0,2.0,4.0,1412.0,37.62685,-121.017426
950000.0,3.0,4.0,2516.0,33.154037,-117.03348
899900.0,3.0,3.0,2247.0,38.5818,-121.35588
279900.0,2.0,3.0,1332.0,36.13055,-120.37112
290000.0,2.0,3.0,1250.0,36.79023,-119.82171
425000.0,2.0,4.0,1800.0,41.778812,-123.38885
560000.0,2.0,4.0,1854.0,38.63518,-121.36316
649900.0,2.0,3.0,1453.0,36.841003,-121.385
334900.0,2.0,4.0,1232.0,36.200993,-119.32558
589000.0,3.0,3.0,1918.0,38.665417,-121.28101
314900.0,2.0,3.0,1412.0,36.77383,-119.78261
315000.0,2.0,3.0,1330.0,36.785183,-119.78276
700000.0,3.0,5.0,3020.0,36.873734,-119.73534
299900.0,2.0,3.0,1152.0,37.216618,-119.68924
429999.0,2.0,4.0,1819.0,36.93645,-120.06406
527000.0,2.0,3.0,1572.0,38.33914,-120.77096
649950.0,3.0,3.0,2668.0,35.32375,-119.11631
499950.0,2.0,4.0,2371.0,35.33418,-119.10701
369900.0,2.0,3.0,1676.0,35.411133,-118.897446
799900.0,3.0,4.0,2102.0,38.385296,-121.98618
397500.0,2.0,4.0,1974.0,40.6008,-122.3663
450000.0,2.0,4.0,1551.0,34.14207,-117.305786
400000.0,2.0,3.0,1419.0,38.72347,-121.32849
449000.0,2.0,3.0,1468.0,37.684326,-121.01912
462000.0,2.0,3.0,1256.0,38.885582,-121.29735
649000.0,2.0,3.0,1335.0,32.864906,-116.94059
485000.0,2.0,3.0,1222.0,38.112022,-121.29173
450000.0,2.0,3.0,1595.0,35.376648,-119.122
729000.0,2.0,4.0,1973.0,35.375565,-119.16213
499900.0,3.0,4.0,2314.0,35.132866,-119.47838
440000.0,2.0,3.0,1833.0,35.115078,-118.453
899000.0,2.0,3.0,1347.0,35.27107,-120.63595
334900.0,2.0,3.0,1190.0,34.555588,-118.08018
475000.0,3.0,4.0,2145.0,34.854397,-118.17325
649900.0,3.0,4.0,2930.0,34.63065,-118.15617
595000.0,2.0,3.0,2024.0,36.457,-118.874916
595000.0,2.0,3.0,2354.0,38.239887,-121.29695
435000.0,3.0,3.0,2010.0,38.17814,-120.39545
675000.0,3.0,5.0,2705.0,38.66837,-120.99407
525000.0,2.0,3.0,1772.0,37.655502,-120.988716
500000.0,2.0,4.0,1993.0,40.601166,-122.35695
399000.0,4.0,4.0,2167.0,37.392624,-120.70183
899000.0,2.0,4.0,2387.0,35.55567,-119.07085
450000.0,3.0,4.0,1854.0,35.339413,-119.09442
475000.0,2.0,4.0,1387.0,38.608723,-121.28931
369000.0,2.0,3.0,1378.0,40.15905,-122.34518
724950.0,2.0,3.0,1560.0,36.914295,-121.77727
724900.0,3.0,3.0,2704.0,38.610195,-121.53095
649000.0,3.0,4.0,2653.0,38.42209,-121.34133
685000.0,2.0,3.0,1784.0,38.631096,-121.11122
459900.0,2.0,3.0,2269.0,37.114105,-120.22642
379000.0,2.0,3.0,1367.0,40.624214,-122.39703
699900.0,3.0,4.0,2133.0,38.763393,-121.2813
379000.0,2.0,4.0,1356.0,38.675743,-121.46547
599000.0,3.0,4.0,1927.0,38.127293,-122.214905
875000.0,2.0,3.0,2386.0,41.289402,-124.06266
824995.0,3.0,3.0,2228.0,38.66247,-121.24913
649000.0,2.0,3.0,1455.0,36.84457,-121.40754
329900.0,2.0,3.0,1220.0,37.62314,-121.016335
879000.0,3.0,5.0,2564.0,38.77051,-121.32931
899000.0,2.0,3.0,1280.0,38.633312,-121.31901
799000.0,4.0,4.0,2968.0,37.69655,-121.440765
559000.0,4.0,6.0,3627.0,40.378895,-120.659805
739000.0,2.0,3.0,1320.0,33.184593,-117.24146
750000.0,2.0,3.0,2360.0,38.69509,-121.17936
550000.0,2.0,3.0,1501.0,38.80218,-121.25873
699000.0,2.0,3.0,1256.0,32.61697,-117.08238
585000.0,2.0,3.0,1580.0,34.633743,-120.447266
625000.0,3.0,4.0,1960.0,38.760586,-121.320145
784500.0,3.0,4.0,2687.0,38.32876,-121.94933
625000.0,2.0,3.0,1809.0,38.72532,-120.64545
998000.0,2.0,4.0,2251.0,39.31342,-120.17919
669000.0,2.0,3.0,2248.0,38.662827,-121.30336
639000.0,2.0,3.0,1824.0,38.768055,-121.288574
799000.0,2.0,3.0,1728.0,38.54482,-121.70861
675000.0,3.0,3.0,2115.0,38.812893,-121.11125
829900.0,3.0,3.0,1810.0,38.82661,-121.2061
675000.0,3.0,4.0,2706.0,37.77438,-121.237755
429999.0,2.0,3.0,1301.0,38.478493,-121.49039
699000.0,3.0,3.0,2267.0,37.932568,-120.607056
849000.0,2.0,4.0,1724.0,38.55677,-121.76021
569000.0,3.0,5.0,2856.0,38.049786,-121.32543
410000.0,2.0,3.0,1232.0,34.68013,-118.17187
574999.0,3.0,4.0,2471.0,34.70256,-118.207985
614000.0,2.0,4.0,1754.0,38.392773,-121.97199
469000.0,2.0,4.0,1519.0,38.549,-121.34287
405000.0,2.0,5.0,2208.0,36.6117,-119.44688
439777.0,2.0,3.0,1692.0,37.219856,-119.67907
379900.0,2.0,3.0,1309.0,38.52952,-121.410675
299000.0,2.0,3.0,1415.0,36.324,-119.28278
330000.0,2.0,3.0,1248.0,37.92907,-121.291374
489000.0,2.0,3.0,1920.0,37.69268,-121.00165
729500.0,3.0,4.0,2310.0,37.509907,-120.82866
399000.0,2.0,3.0,1070.0,37.046,-120.830536
449000.0,2.0,3.0,1232.0,38.552486,-121.38804
449000.0,3.0,5.0,2364.0,36.312653,-119.78811
439817.0,2.0,4.0,1340.0,39.016468,-121.43934
659900.0,3.0,5.0,2857.0,38.546833,-121.27949
249900.0,2.0,3.0,1840.0,32.795574,-115.59081
534900.0,2.0,3.0,1691.0,38.283455,-121.28509
474500.0,2.0,4.0,1878.0,39.015854,-121.41798
570000.0,2.0,3.0,1465.0,38.80527,-121.34751
725000.0,2.0,3.0,1586.0,33.937107,-118.31322
549000.0,2.0,3.0,1300.0,39.074844,-121.5436
874900.0,4.0,4.0,3394.0,38.480602,-121.51482
485000.0,2.0,3.0,2176.0,35.165108,-118.654816
610000.0,3.0,4.0,2036.0,38.50885,-121.52532
495000.0,2.0,3.0,1665.0,39.14611,-121.048836
